ItemName,PARA_1,PARA_2,PARA_3,PARA_4,PARA_5,PARA_6,PARA_7,PARA_8,PARA_9,PARA_10,PARA_11,PARA_12,PARA_13,PARA_14,PARA_15,PARA_16,PARA_17,PARA_18,PARA_19,PARA_20,PARA_21,PARA_22,PARA_23,PARA_24,PARA_25,PARA_26,PARA_27,PARA_28,PARA_29,PARA_30,PARA_31,PARA_32,PARA_33,PARA_34,PARA_35,PARA_36,PARA_37,PARA_38,PARA_39,PARA_40,PARA_41,PARA_42,PARA_43,PARA_44,PARA_45
12CA009-0-VN,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
KPR7CA006-E,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
K7CA006-E-VN,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
7CA006-E-VN,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
KPR4VC006-0,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
K4VC006-0-VN,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
4VC006-0-VN,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
17CA010-0-VN,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
KPR10CA005-0,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
K10CA005-0-VN,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
10CA005-0-VN,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
KPR09CA006-0,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
K09CA006-0-VN,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
09CA006-0-VN,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
KPR09VC003-0,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
K09VC003-0-VN,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
09VC003-0-VN,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
KPR1CA001-B,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
K1CA001-B-VN,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
1CA001-B-VN,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
KPR8CA001-B,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
K8CA001-B-VN,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
8CA001-B-VN,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
KPR5CA004-C,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
K5CA004-C-VN,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
5CA004-C-VN,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
KPR0CA002-A,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
